שד בן צבי יצחק 1  ירושלים ישראל,1,ירושלים,3000,200,בית ברלין ליד בית החייל, , ,,,,31.3409589,35.1009944
שד בן צבי יצחק 1  ירושלים ישראל,1,ירושלים,3000,201,בית ברלין ליד בית החייל, , ,,,,31.3409589,35.1009944
נרקיס 11  ירושלים ישראל,1,ירושלים,3000,203,מרכז פדגוגי להוראה,כ, ,,,,31.7790837,35.2128209
ילין דוד 41  ירושלים ישראל,1,ירושלים,3000,205,"בי""ס נוות ישראל", , ,,,,31.7866633,35.2141092
אהל משה 42  ירושלים ישראל,1,ירושלים,3000,206,לב העיר מנהל קהילתי, , ,,,,31.8027198,35.2238394
מנחם מנדל משקלוב 24  ירושלים ישראל,1,ירושלים,3000,207,מועדון גיל הזהב (בניין כללית),כ,כ,,,,31.7863438,35.1744784
פרי חדש 1  ירושלים ישראל,1,ירושלים,3000,208,"בי""ס יסודי בית חוה", , ,,,,31.7871981,35.2172004
זכרון יעקב 5  ירושלים ישראל,1,ירושלים,3000,209.1,"מרכז קהילתי ע""ש יעקב וקרולין",כ,כ,אות ראשונה בשם משפחה,א,,31.7957323,35.2004426
זכרון יעקב 5  ירושלים ישראל,1,ירושלים,3000,209.2,"מרכז קהילתי ע""ש יעקב וקרולין",כ, ,אות ראשונה בשם משפחה,נ,,31.7957323,35.2004426
בזל 3  ירושלים ישראל,1,ירושלים,3000,210,"נועם - בי""ס תורני לבנות", , ,,,,31.7842767,35.19269
בזל 3  ירושלים ישראל,1,ירושלים,3000,211,"נועם - בי""ס תורני לבנות", , ,,,,31.7842767,35.19269
הרב אבן דנן 30  ירושלים ישראל,1,ירושלים,3000,212,בית ספר בית יעקב הר נוף, , ,,,,31.7813237,35.1724917
החלוץ 47  ירושלים ישראל,1,ירושלים,3000,213,"בית ספר ויצ""ו בית הכרם", , ,,,,31.7770405,35.1908373
שחר 19  ירושלים ישראל,1,ירושלים,3000,214,"ממ""ד יסודי קהילתי דרור",כ,כ,,,,31.7803832,35.1942774
הקבלן 8  ירושלים ישראל,1,ירושלים,3000,215.1,"בי""ס בית יעקב (דרך החיים)", , ,אות ראשונה בשם משפחה,א,,31.7878774,35.1750603
הקבלן 8  ירושלים ישראל,1,ירושלים,3000,215.2,"בי""ס בית יעקב (דרך החיים)", , ,אות ראשונה בשם משפחה,מ,,31.7878774,35.1750603
הרב טייב חי 46  ירושלים ישראל,1,ירושלים,3000,216,"ממ""ד תורני לבנות הר נוף", , ,,,,31.7832278,35.171766
הרב אבן דנן 30  ירושלים ישראל,1,ירושלים,3000,217,בית ספר בית יעקב הר נוף, , ,,,,31.7813237,35.1724917
הרב אבן דנן 30  ירושלים ישראל,1,ירושלים,3000,218,בית ספר בית יעקב הר נוף, , ,,,,31.7813237,35.1724917
שמואל הנביא 83א ירושלים ישראל,1,ירושלים,3000,219,סמינר בית יעקב -מרגלית, , ,,,,31.7923097,35.2234511
שמואל הנביא 83א ירושלים ישראל,1,ירושלים,3000,220,סמינר בית יעקב -מרגלית, , ,,,,31.7923097,35.2234511
אהלי יוסף 15  ירושלים ישראל,1,ירושלים,3000,221.1,"בי""ס בית יעקב עזרת תורה", , ,אות ראשונה בשם משפחה,א,,31.796567,35.2165829
אהלי יוסף 15  ירושלים ישראל,1,ירושלים,3000,221.2,"בי""ס בית יעקב עזרת תורה", , ,אות ראשונה בשם משפחה,ל,,31.796567,35.2165829
בן ציון 24  ירושלים ישראל,1,ירושלים,3000,222,בית יעקב גבעת שאול, , ,,,,31.7897609,35.1934983
סורוצקין 40  ירושלים ישראל,1,ירושלים,3000,223,קרית הילד, , ,,,,31.7989982,35.2064508
